semana,fecha,hora_inicio,hora_fin,unidad,via,supervisor,responsable,tarea,orden
18,29/04/2019,10:00,11:00,U12,T1,JFZ,JFA-JAH,mantenimiento 120000 km,30143212
18,29/04/2019,11:00,12:00,U03,T2,JFZ,JB-JVG,cambiar llantas,30143212
18,29/04/2019,12:00,13:00,U04,T2,JFZ,DO-JJC,cambiar guiado me1,30143212
18,29/04/2019,13:00,14:00,U06,T2,JFZ,LHO-VJA,limpiar climatizadores,30143212
18,29/04/2019,14:00,15:00,U07,T2,JFZ,DO-AM,analisis rcm,30143212
19,01/05/2019,10:00,11:00,U12,T1,JFZ,JFA-JAH,mantenimiento 120000 km,30143212
19,01/05/2019,11:00,12:00,U03,T2,JFZ,JB-JVG,cambiar llantas,30143212
19,01/05/2019,12:00,13:00,U04,T2,JFZ,DO-JJC,cambiar guiado me1,30143212
19,01/05/2019,13:00,14:00,U06,T2,JFZ,LHO-VJA,limpiar climatizadores,30143212
19,01/05/2019,14:00,15:00,U07,T2,JFZ,DO-AM,analisis rcm,30143212
19,03/05/2019,10:00,11:00,U12,T1,JFZ,JFA-JAH,mantenimiento 120000 km,30143212
19,03/05/2019,11:00,12:00,U03,T2,JFZ,JB-JVG,cambiar llantas,30143212
19,03/05/2019,12:00,13:00,U04,T2,JFZ,DO-JJC,cambiar guiado me1,30143212
19,03/05/2019,13:00,14:00,U06,T2,JFZ,LHO-VJA,limpiar climatizadores,30143212
19,03/05/2019,14:00,15:00,U07,T2,JFZ,DO-AM,analisis rcm,30143212
19,03/05/2019,10:00,11:00,U12,T1,JFZ,JFA-JAH,mantenimiento 120000 km,30143212
19,03/05/2019,11:00,12:00,U03,T2,JFZ,JB-JVG,cambiar llantas,30143212
19,03/05/2019,12:00,13:00,U04,T2,JFZ,DO-JJC,cambiar guiado me1,30143212
19,04/05/2019,13:00,14:00,U06,T2,JFZ,LHO-VJA,limpiar climatizadores,30143212
19,04/05/2019,14:00,15:00,U07,T2,JFZ,DO-AM,analisis rcm,30143212
19,04/05/2019,10:00,11:00,U12,T1,JFZ,JFA-JAH,mantenimiento 120000 km,30143212
19,04/05/2019,11:00,12:00,U03,T2,JFZ,JB-JVG,cambiar llantas,30143212
19,04/05/2019,12:00,13:00,U04,T2,JFZ,DO-JJC,cambiar guiado me1,30143212
19,04/05/2019,13:00,14:00,U06,T2,JFZ,LHO-VJA,limpiar climatizadores,30143212
19,05/05/2019,14:00,15:00,U07,T2,JFZ,DO-AM,analisis rcm,30143212
19,05/05/2019,10:00,11:00,U12,T1,JFZ,JFA-JAH,mantenimiento 120000 km,30143212
19,05/05/2019,11:00,12:00,U03,T2,JFZ,JB-JVG,cambiar llantas,30143212
19,05/05/2019,12:00,13:00,U04,T2,JFZ,DO-JJC,cambiar guiado me1,30143212
19,05/05/2019,13:00,14:00,U06,T2,JFZ,LHO-VJA,limpiar climatizadores,30143212
19,05/05/2019,14:00,15:00,U07,T2,JFZ,DO-AM,analisis rcm,30143212
